site,component_type,html_tag,text_content,font_size,foreground_color,background_color,bounding_box
BBC,button,button,Open menu,13.3333px,"rgb(0, 0, 0)","rgb(255, 255, 255)","{""x"": 16, ""y"": 303, ""width"": 50, ""height"": 30}"
BBC,link,a,British Broadcasting Corporation,16px,"rgb(0, 0, 0)","rgb(255, 255, 255)","{""x"": 570, ""y"": 298, ""width"": 140, ""height"": 40}"
BBC,link,a,Register,16px,"rgb(0, 0, 0)","rgb(255, 255, 255)","{""x"": 1074.46875, ""y"": 301, ""width"": 90.40625, ""height"": 34}"
BBC,button,button,Register,16px,"rgb(255, 255, 255)","rgb(0, 0, 0)","{""x"": 1074.46875, ""y"": 301, ""width"": 90.40625, ""height"": 34}"
BBC,link,a,Sign In,16px,"rgb(0, 0, 0)","rgb(255, 255, 255)","{""x"": 1184.875, ""y"": 301, ""width"": 79.125, ""height"": 34}"
BBC,button,button,Sign In,16px,"rgb(0, 0, 0)","rgb(255, 255, 255)","{""x"": 1184.875, ""y"": 301, ""width"": 79.125, ""height"": 34}"
BBC,navigation,nav,Home News Sport Business Technology Health Culture Arts Travel Earth Audio Video Live,16px,"rgb(0, 0, 0)","rgb(255, 255, 255)","{""x"": 0, ""y"": 359, ""width"": 1280, ""height"": 42}"
BBC,button,a,Home,14px,"rgb(0, 0, 0)","rgb(255, 255, 255)","{""x"": 262.28125, ""y"": 359, ""width"": 55.5, ""height"": 42}"
BBC,button,a,News,14px,"rgb(0, 0, 0)","rgb(255, 255, 255)","{""x"": 317.78125, ""y"": 359, ""width"": 51.875, ""height"": 42}"
BBC,button,a,Sport,14px,"rgb(0, 0, 0)","rgb(255, 255, 255)","{""x"": 369.65625, ""y"": 359, ""width"": 52.828125, ""height"": 42}"
BBC,button,a,Business,14px,"rgb(0, 0, 0)","rgb(255, 255, 255)","{""x"": 422.484375, ""y"": 359, ""width"": 73.3125, ""height"": 42}"
BBC,button,a,Technology,14px,"rgb(0, 0, 0)","rgb(255, 255, 255)","{""x"": 495.796875, ""y"": 359, ""width"": 91.875, ""height"": 42}"
BBC,button,a,Health,14px,"rgb(0, 0, 0)","rgb(255, 255, 255)","{""x"": 587.671875, ""y"": 359, ""width"": 60.296875, ""height"": 42}"
BBC,button,a,Culture,14px,"rgb(0, 0, 0)","rgb(255, 255, 255)","{""x"": 647.96875, ""y"": 359, ""width"": 64.9375, ""height"": 42}"
